id,Title,Company,Location,Type,Level,YearsExp,Country,Skills
2204,General Accountant,Cecil Intelligent Childhood,Obour City,Full Time,Experienced,3-5 Yrs of Exp,Cairo,Accounting- Finance- ERP System- Financial Management- Accounting/Finance
2205,Factory Manager,AMACO,6th of October,Full Time,Manager,7+ Yrs of Exp,Giza,Production- Management- Aluminum- Curtain Walling- Quality- Fabrication- Operations/Management- Manufacturing/Production
2206,Regional Junior AP Accountant,Aptec,Obour City,Full Time,Entry Level,1+ Yrs of Exp,Cairo,Accounting- Finance- Commerce- AP- Accounts Payable- English- Accounting/Finance
2207,Power BI Developer,Global Brands,6th of October,Full Time,Experienced,3+ Yrs of Exp,Giza,Power BI- BI- Business Intelligence- Computer Science- SQL- DAX- Engineering- IT/Software Development
2208,Social Networking Intern,AMACO,6th of October,Internship,Entry Level,null Yrs of Exp,Giza,Social Media- Marketing- Social Networking- PR- Marketing/PR/Advertising- Media/Journalism/Publishing
2209,Frontend Developer,KnowledgeNet,Nasr City,Full Time,Entry Level,1+ Yrs of Exp,Cairo,CSS3- Design- Bootstrap- RESTful- AJAX- Information Technology (IT)- Computer Science- Software Development- javaScript
2210,Senior Accountant - Account Receivables,Madinet Nasr for Housing and Development,Nasr City,Full Time,Experienced,3-6 Yrs of Exp,Cairo,Accounts Receivable- Accounting- Accounting/Finance
2211,Front Desk Specialist,Madinet Nasr for Housing and Development,Nasr City,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,Front Desk- Administration- Microsoft Office- Office Management- Communication Skills- Administration- Customer Service/Support
2212,Receptionist / Sales Assistant,Ghabbour Auto,Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Egypt,Females Only- Administration- Receptionist- Sales Admin- Customer Service- Customer Care- Administration- Customer Service/Support
2213,Operations Coordinator,3D Diagnostix,Maadi,Full Time,Entry Level,0-1 Yrs of Exp,Cairo,Healthcare- Medical- Production- Operations- Agriculture- Science- Engineering- Nutrition- Operations/Management
2214,Technical Lead,NGMSA,Alexandria,Full Time,Manager,10+ Yrs of Exp,Egypt,Software Development- Computer Science- Software Engineering- Computer Engineering- C#- C++- Visual Studio- English
2215,Customer Service Agent,Confidential,Heliopolis,Full Time,Shift Based,1-2 Yrs of Exp,Cairo,Males Only- Customer Service- Customer Support- Customer Care- Call Center- Customer Service/Support
2216,Procurement Coordinator,Mamiba,6th of October,Full Time,Entry Level,1-3 Yrs of Exp,Giza,Procurement- Microsoft Office- Communication Skills- Purchasing/Procurement
2217,Accountant,Confidential,Mansoura,Full Time,Entry Level,2-3 Yrs of Exp,Dakahlia,Accounting- Finance- Financial Analysis- Financial Management- English- SAP- Microsoft Office- Accounting/Finance
2218,Outdoor Sales Representative,Smart Get,Cairo,Full Time,Part Time,0-5 Yrs of Exp,Egypt,0-5 Yrs of Exp- 5 Vacancies- Outdoor Sales- Sales Target- Sales Skills- Communication Skills- English- Sales/Retail
2219,Customer Service Agent - Travel Adviser,Flairstech,Maadi,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,Tourism- Customer Service- Customer Support- Customer Care- Sales- Customer Satisfaction- Customer Inquiries- Customer Complaints
2220,IT Help Desk Agent,New Plan,New Cairo,Full Time,Experienced,2-4 Yrs of Exp,Cairo,Information Technology (IT)- Installation- Information System- Help Desk- English- Computer Science- IT- Software Engineering
2221,Payroll & Personnel Specialist,Mohamed and Ramy,Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Egypt,Human Resources (HR)- Recruitment- Management- English- Personnel- Communication- Excel- Human Resources
2222,Senior Administration Officer,INDEVCO,6th of October,Full Time,Experienced,3-5 Yrs of Exp,Giza,Secretary- Office Management- Microsoft Excel- Microsoft Office- Microsoft Word- Microsoft PowerPoint- Accounting- MS Office
2223,Sales Consultant,MG Developments,Nasr City,Full Time,Entry Level,1+ Yrs of Exp,Cairo,Real Estate Sales- Property Sales- Commercial Real Estate- Coastal- English- Sales Skills- Sales/Retail
2224,Business Development & Digital Sales Specialist,WellGrow Training and Consulting,Maadi,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,Business Development- Sales Target- Communication Skills- Problem Solving- Creative- Digital Sales- Business Development- Sales/Retail
2225,Promoter ( El Minya ),Confidential,Minya,Full Time,Entry Level,1-3 Yrs of Exp,Egypt,Promotion- PR- Sales- Customer Support- Customer Satisfaction- Events- Workshop- Customer Service/Support- Marketing/PR/Advertising
2226,Procurement Engineer,TTC Technologies,Heliopolis,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,Procurement- Logistics- Engineering- Telecommunication- Mechatronics- Microsoft Office- Electronics- Medical- English
2227,Product Designer (UX Designer),GET Group- Egypt,Sheraton,Freelance / Project,Experienced,4+ Yrs of Exp,Cairo,Photoshop- XD- Art- OmniGraffle- Axure- Cinema 4D- Lightwave- Maya- 3D- Typographical- CSS- HTML 5- UX
2228,Export Area Manager,Confidential,Alexandria,Full Time,Manager,5-7 Yrs of Exp,Egypt,MBA- Logistics- Supply Chain- Export- English- Arabic- Logistics/Supply Chain
2229,Digital Marketing Executive,Chloride,Abu Rawash,Full Time,Experienced,3+ Yrs of Exp,Giza,Digital Marketing- Social Media- SEO- English- Communication- Management- Presentation Skills- Online Marketing
2230,Web Developer,Pillars,Hadayek Alahram,Full Time,Experienced,3+ Yrs of Exp,Giza,HTML/CSS- Information Technology (IT)- Computer Science- Quality- Web Development- PHP- ASP.NET- IT/Software Development
2231,Outdoor Sales Representative - Gharbia,Penguin,Gharbia,Full Time,Experienced,3+ Yrs of Exp,Egypt,Sales Skills- Outdoor Sales- Sales Target- Home Appliances- Excel- Communication Skills- Sales/Retail
2232,Outdoor Sales Representative - Sharqia,Penguin,Sharqia,Full Time,Experienced,3+ Yrs of Exp,Egypt,Sales Skills- Outdoor Sales- Sales Target- Home Appliances- Excel- Communication Skills- Sales/Retail
2233,Senior MS Exchange Engineer,Roaya IT Solutions-,Maadi,Full Time,Experienced,7+ Yrs of Exp,Cairo,SCOM- Software Development- ITIL- PMP- MCSE- VMWare- Linux- Information Technology (IT)- Computer Science- Computer Skills
2234,Export Documentation Coordinator,Confidential,Alexandria,Full Time,Experienced,3-5 Yrs of Exp,Egypt,Documentation- Logistics- Supply Chain- Shipping- Orders- English- Logistics/Supply Chain
2235,Senior Full Stack Developer (.NET),DEVOPSolution,Nasr City,Full Time,Experienced,5+ Yrs of Exp,Cairo,.NET Development- Computer Science- Computer Engineering- Information Technology (IT)- C#- MVC- ASP.NET- Angular- Typescript- HTML5
2236,Mechanical Engineer,Tiger Marine,Badr City,Full Time,Experienced,2-4 Yrs of Exp,Cairo,Mechanical Engineering- Maintenance- Electrical Engineering- Technical Drawings- Installation/Maintenance/Repair
2237,Web Chat Customer Service Agent,The Hair Addict,New Cairo,Full Time,Work From Home,1+ Yrs of Exp,Cairo,Customer Support- Typing- Customer Service- Web Chat- Customer Service/Support
2238,Corporate Sales Manager (Insurance),Egyptian Life Takaful,Cairo,Full Time,Manager,9-12 Yrs of Exp,Egypt,Corporate Sales- Sales Target- English- Commerce- Business- Economics- Microsoft Office- Insurance- Sales/Retail
2239,Sales Representative,Apexos Group,Sheraton,Full Time,Entry Level,1+ Yrs of Exp,Cairo,Customer Service- F&B- B2B- Sales Skills- Sales Target- Customer Service/Support- Sales/Retail
2240,Fashion Designer,Egyptian Company for Trading Industry and International Agents,Haram,Full Time,Experienced,3+ Yrs of Exp,Giza,Fashion- Design- Audaces- Patterns- Creative/Design/Art- Fashion
2241,Java Backend Developer,Entrepreware,Maadi,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,GIT- Java- CSS3- MYSQL- Hibernate- Backend- Software Engineering- Computer Science- Information Technology (IT)- Software Development
2242,Admissions Officer,El Sewedy Education,Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Egypt,Higher- Education- Administration- Microsoft Office- Office Management- Communication Skills- Administration- Other
2243,UI/UX Designer,Confidential,Nasr City,Full Time,Experienced,3+ Yrs of Exp,Cairo,UI- UX- Web Design- Adobe Photoshop- HTML5- CSS3- Javascript- Adobe Illustrator- InVision- Sketch- UXPin- Flinto- Prototypes
2244,Procurement Manager- META,Acino Pharma Egypt,New Cairo,Full Time,Manager,10+ Yrs of Exp,Cairo,Purchasing- Supply Chain- Microsoft Office- Logistics/Supply Chain- Purchasing/Procurement
2245,Warehouse Supervisor (Chemicals) - (مشرف مخازن...,EVA Cosmetics,6th of October,Full Time,Experienced,3+ Yrs of Exp,Giza,Logistics- Supply Chain- Store Management- Science- Agriculture- Commerce- R&D/Science- Logistics/Supply Chain
2246,Senior Financial Controller - Alexandria,Prometeon Pirelli Tyres ( Ex-Pirelli ),Ameria,Full Time,Experienced,4-8 Yrs of Exp,Alexandria,SAP- Finance- Accounting- Financial Analysis- Cost Control- CMA- Commerce- Financial Management- Accounting/Finance
2247,Senior UI Developer,Fawry Banking & Payment Technology Services,6th of October,Full Time,Experienced,4-6 Yrs of Exp,Giza,Bootstrap- javaScript- jQuery- CSS3- HTML5- Information Technology (IT)- Computer Science- Computer Engineering- Software Development
2248,Technical Sales Account Manager - Software,Confidential,Cairo,Full Time,Experienced,2+ Yrs of Exp,Egypt,Business Development- Information Technology (IT)- Lead Generation- Forcasting- Sales Target- Customer Service- Account Management
2249,Marketing Internship - Smart Village Cairo,Prometeon Pirelli Tyres ( Ex-Pirelli ),Smart Village,Internship,Entry Level,0-1 Yrs of Exp,Giza,Online Marketing- Advertising- Digital Marketing- Social Media- Business Development- Marketing/PR/Advertising- Analyst/Research
2250,Telesales Executive,4level1,Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Egypt,Startup- Telesales- Online Support- Sales Skills- Customer Service- Sales Target- Customer Service/Support- Sales/Retail
2251,Accountant,RO creative studio,Nasr City,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,Finance- Microsoft Office- Financial Analysis- Computer Skills- English- Accounting/Finance
2252,Business Developer,HPA (Highly Professional Advisors),New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,Sales Target- English- Corporate Sales- B2B- Education- E-learning- Learning Software- Business Administration- Business Development
2253,Senior Business Analyst,Titan Cement Egypt,Sheraton,Full Time,Experienced,4+ Yrs of Exp,Cairo,Economics- Computer Science- SAP BO Suite- Power BI- ERP- English- Arabic- Information Technology (IT)- Communication Skills
2254,Social Media Specialist,RO creative studio,Nasr City,Full Time,Experienced,2-5 Yrs of Exp,Cairo,Social Media- E-marketing- Writing- Content Creation- Writing/Editorial- Marketing/PR/Advertising- Media/Journalism/Publishing
2255,Graphic Designer,RO creative studio,Nasr City,Full Time,Experienced,2-5 Yrs of Exp,Cairo,Graphic Design- Adobe Photoshop- Adobe Illustrator- Marketing- Branding- After Effects- Creative/Design/Art
2256,Graphic Design Instructor,Mishkat Nour,Port Said,Part Time,Experienced,4-7 Yrs of Exp,Egypt,Adobe Illustrator- Adobe Photoshop- Instructor- Adobe Premiere- Teaching- Creative/Design/Art- Training/Instructor
2257,Outdoor Sales Representative,Penguin,Cairo,Full Time,Experienced,3+ Yrs of Exp,Egypt,Sales Skills- Outdoor Sales- Sales Target- English- Home Appliances- Excel- Sales/Retail
2258,Sales Executive - Trucking Industry,Confidential,Giza,Full Time,Experienced,2+ Yrs of Exp,Egypt,Logistics- Lead Generation- Transportation- Trucks- B2B- Sales Skills- Sales Target- Business Development- Logistics/Supply Chain
2259,Senior Property Consultant,Makanak,New Cairo,Full Time,Experienced,3-5 Yrs of Exp,Cairo,Females Only- Sales Team- Sales Target- Sales Skills- Communication Skills- Presentation Skills- Management- Training- English
2260,Electrical Procurement Engineer,Samman Engineering & Consulting,Dokki,Full Time,Experienced,5-8 Yrs of Exp,Giza,Procurement- Electrical Engineering- Logistics- Supply Chain- Logistics/Supply Chain- Purchasing/Procurement
2261,Senior Vendor Manager,Teqneyat,Mohandessin,Full Time,Experienced,3+ Yrs of Exp,Giza,Vendor Manager- Vendor Management- Translation- English- Human Resources- Project/Program Management
2262,Senior QA Engineer,Wadi Degla Group,Maadi,Full Time,Experienced,6-8 Yrs of Exp,Cairo,Quality Assurance- Architectural Engineering- Engineering - Construction/Civil/Architecture- Quality
2263,Social Media Specialist - Real Estate,Confidential,Cairo,Full Time,Experienced,2-5 Yrs of Exp,Egypt,Social Media- Digital Marketing- E-marketing- Advertising- Social Networking- Sales Skills- Customer Service- Real Estate Sales
2264,Fashion Buyer - Denim,Confidential,Giza,Full Time,Experienced,5-7 Yrs of Exp,Egypt,Merchandising- Design- Denim- Fashion- Purchasing/Procurement
2265,Front End Developer,Simple Touch Software,Cairo,Full Time,Work From Home,3-5 Yrs of Exp,Egypt,Front End Developer- HTML5- jQuery- JavaScript- CSS3- AngularJs- user experience- Computer Science- Information Technology (IT)
2266,Android & iOS Flutter Developer,Confidential,Maadi,Full Time,Experienced,5+ Yrs of Exp,Cairo,Information Technology (IT)- Software Development- Android Design- Computer Science- GIT- Offline Storage- UI- Android SDK- flutter
2267,Competitive Intelligence Officer,Misr Elkheir Foundation,Cairo,Full Time,Experienced,3-5 Yrs of Exp,Egypt,Analysis- Project Management- Planning- Accounting/Finance- Business Development- Analyst/Research
2268,IT Help Desk Specialist,Raya Contact Center,Smart Village,Full Time,Shift Based,0-2 Yrs of Exp,Giza,5 Vacancies- Information Technology (IT)- Help Desk- IT- Computer Science- Technical- Installation- Telecom- Computer Engineering
2269,Business Analysis Officer,Misr Elkheir Foundation,Mokattam,Full Time,Experienced,3-5 Yrs of Exp,Cairo,Excel- Finance- Accounting/Finance- Business Development- Analyst/Research
2270,Office Manager/Accountant,Apexos Group,Sheraton,Full Time,Experienced,3+ Yrs of Exp,Cairo,Finance- Financial Management- Financial Analysis- Excel- HR- Administration- F&B- Accounting/Finance- Administration
2271,Quran Teacher,Mishkat Nour,Port Said,Part Time,Experienced,3-7 Yrs of Exp,Egypt,Education- Teaching- International School- Quran- Education/Teaching
2272,Quality & Innovation Director,Apexos Group,Sheraton,Full Time,Experienced,2-9 Yrs of Exp,Cairo,Quality- Business Development- Photoshop- Illustrator- F&B- Business Development- Quality
2273,Lab Analyst,scitra,6th of October,Full Time,Experienced,2-4 Yrs of Exp,Giza,Science- Quality Control- Pharmacy- Lab Analyst- GED- RPM- FG- COAs- FMCG- Cosmetics- R&D/Science- Analyst/Research
2274,Math Teacher,Mishkat Nour,Port Said,Part Time,Experienced,3-7 Yrs of Exp,Egypt,Education- Teaching- International School- English- Teacher- Mathematics- Education/Teaching
2275,Art Teacher,Mishkat Nour,Port Said,Part Time,Experienced,3-7 Yrs of Exp,Egypt,Education- Teaching- International School- English- Art- Creative- Creative/Design/Art- Education/Teaching
2276,Digital Marketing Executive,Confidential,Heliopolis,Full Time,Experienced,2+ Yrs of Exp,Cairo,Digital Marketing- Social Media- SEO- Facebook- Photoshop- Campaigns- Brokerage- Real estate- Communication- Creative- Management
2277,Admin Assistant,Abdelkader Clinic,Sheikh Zayed,Full Time,Experienced,3+ Yrs of Exp,Giza,Customer Service- Customer Care- Customer Support- Office Management- Secretary- Microsoft Office- Medical- Clinic Management
2278,Science Teacher,Mishkat Nour,Port Said,Part Time,Experienced,3-7 Yrs of Exp,Egypt,Education- Teaching- International School- English- Science- Education/Teaching
2279,Sales Supervisor Home Appliances - Zagazig,Confidential,Zagazig,Full Time,Manager,6+ Yrs of Exp,Sharqia,Males Only- Sales Management- Sales Plan- Sales Target- Sales Skills- Sales Home Appliances- Communication Skills- Home Appliances Sales
2280,Senior Internal Auditor,Misr Elkheir Foundation,Mokattam,Full Time,Experienced,3-5 Yrs of Exp,Cairo,Accounting- Finance- Auditing- Accounting/Finance- Banking
2281,Sr. Lighting Sales Engineer,Elsewedy industries,New Cairo,Full Time,Experienced,3-7 Yrs of Exp,Cairo,Sales Skills- Engineering- Electrical- Lighting Products- Sales/Retail- Engineering - Mechanical/Electrical
2282,Senior Web Developer,Glamera,Nasr City,Full Time,Experienced,3+ Yrs of Exp,Cairo,Web Development- Computer Science- Computer Engineering- Information Technology (IT)- HTML5- CSS3- ASP.NET MVC- Restful Web API
2283,CRM Officer,Gila Electric,Downtown,Full Time,Experienced,2+ Yrs of Exp,Cairo,CRM- Call Center- Customer Service- Customer Care- Customer Support- Communication Skills- Analysis- Presentation Skills- Odoo
2284,Sales Admin (Telesales),Location Real Estate,Nasr City,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,Realestate- Resale- Cold Calls- Brokerage Real Estate- Property- Administration- Telesales- Customer Service- Administration
2285,Operations Specialist / Sales Admin (Brokerage...,Location Real Estate,New Cairo,Full Time,Experienced,2-4 Yrs of Exp,Cairo,Females Only- Skills- CRM- Resale- Brokerage Real Estate- Microsoft Excel- Sales Admin- Administration- Operations/Management
2286,Resale Property Consultant,Location Real Estate,New Cairo,Full Time,Experienced,2+ Yrs of Exp,Cairo,Males Preferred- Real Estate- Resale- Brokerage- Sales Skills- Property Sales- Sales Target- Sales/Retail
2287,Senior Resale Agent - Brokerage,Confidential,New Cairo,Full Time,Experienced,3-10 Yrs of Exp,Cairo,Males Preferred- Primary- Sales Skills- Brokerage Real Estate- Resale- Sales/Retail
2288,Senior Property Consultant - Real Estate,Confidential,New Cairo,Full Time,Experienced,2+ Yrs of Exp,Cairo,Males Preferred- Primary- Real Estate Sales- Sales Skills- Brokerage Real Estate- Sales Target- English- Sales/Retail
2289,Property Consultant - Brokerage,Location Real Estate,Heliopolis,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,Sales Skills- Property Sales- Brokerage Real Estate- Sales Target- English- Sales/Retail
2290,Marketing Executive/ Sales Admin,Location Real Estate,Heliopolis,Full Time,Experienced,2-3 Yrs of Exp,Cairo,Real Estate- SEO- Creative- Content writing- Adobe Photoshop- Property- Writing/Editorial- Marketing/PR/Advertising
2291,Arabic Teacher,Mishkat Nour,Port Said,Part Time,Experienced,3-7 Yrs of Exp,Egypt,Teacher- Education- Education/Teaching
2292,Video Editor & Animator - New Cairo,Confidential,New Cairo,Full Time,Work From Home,5-7 Yrs of Exp,Cairo,Video Editing- Motion Graphics- Adobe Premiere- Animation- After Effects- Adobe Photoshop- Creative- Creative/Design/Art
2293,Delivery & Administrative Coordinator,SMART Furniture,Sheraton,Full Time,Experienced,2-4 Yrs of Exp,Cairo,Administrative- Administration- Delivery- Logistics- Retail- MS Office- Administration- Logistics/Supply Chain
2294,HR Specialist ( Personnel ),Mersal,Maadi,Full Time,Experienced,2+ Yrs of Exp,Cairo,Human Resources (HR)- Personnel- Microsoft Office- HR- English- HR Diploma- Labor Laws- Employment- Interviewing- Selecting
2295,Python Back End Developer,Div Systems,Mokattam,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,Information Technology (IT)- Software Development- Computer Science- Software Engineering- javaScript- HTML5- Front-End- SQL
2296,IT System Administrator,Elabd Foods,Sharabeya,Full Time,Experienced,4-6 Yrs of Exp,Cairo,Computer Science- MCSE- MCSA- Information Technology (IT)- System Administration- Computer Engineering- Telecom- Maintenance- Repair
2297,Sales Advisor (Telesales)-Fluent English only,3D Diagnostix,Maadi,Full Time,Entry Level,0-3 Yrs of Exp,Cairo,Sales Skills- Sales Target- Customer Service- English- Telesales- Customer Care- Customer Service/Support- Sales/Retail
2298,Security/Penetration Tester,Caelum Middle East,Dokki,Full Time,Experienced,2-4 Yrs of Exp,Giza,Application Security- Application Architecture- Communication Protocols- IT/Software Development- Quality
2299,Senior Internal Auditor,Confidential,New Cairo,Full Time,Experienced,8+ Yrs of Exp,Cairo,Computer Skills- Finance- Accounting- Internal Auditing- Financial Management- Financial Analysis- Microsoft Word- Accounting/Finance
2300,Social Media Coordinator,Pink'n Green,Hadayek Alahram,Full Time,Entry Level,0-3 Yrs of Exp,Giza,E-marketing- SEO- Digital Marketing- Sales Skills- Sales Target- Microsoft Office- Marketing/PR/Advertising
2301,Sales Assistant (Seasonal),Shamy Stores,Alexandria,Full Time,Freelance / Project,0-1 Yrs of Exp,Egypt,Sales Skills- Indoor Sales- Sales Target- Outdoor Sales- Microsoft Office- Video Games- Customer Service- Retail- Sales/Retail
2302,Personnel Specialist,Confidential,Sheikh Zayed,Full Time,Experienced,2-4 Yrs of Exp,Giza,Males Only- Personnel- Human Resources (HR)- HRIS- Microsoft Office- Recruitment- HR- Training- MS Office- Employment- Labor Law
2303,Operations Manager - Cairo,Mishkat Nour,Nasr City,Full Time,Manager,4-7 Yrs of Exp,Cairo,Communication Skills- Operations Management- Leadership- Operations/Management
2304,Export Sales Account Manager – Gulf Area,Kandil Industries,Cairo,Full Time,Experienced,2-4 Yrs of Exp,Egypt,Sales Skills- Customer Service- Sales Target- English- Food And Beverage- Account Management- Export Sales- Logistics/Supply Chain
2305,Sales Engineer - Chemical Cleaners Div.,Inter-Tech,Heliopolis,Full Time,Experienced,3-5 Yrs of Exp,Cairo,Cleaners and Chemicals- Sales- Engineering- R&D/Science- Sales/Retail- Engineering - Other
2306,English Teacher (National - International),Mishkat Nour,Port Said,Part Time,Experienced,3-7 Yrs of Exp,Egypt,Education- Teaching- International School- English- Education/Teaching
2307,Senior Sales Engineer - Oil & Gas Sector,Inter-Tech,Cairo,Full Time,Experienced,3-6 Yrs of Exp,Egypt,Sales Skills- Sales Target- Customer Service- Customer Support- Customer Care- Mechanical Engineering- Chemical- Material- Oil &Gas
2308,Map Production Specialist,Confidential,Cairo,Freelance / Project,Shift Based,null Yrs of Exp,Egypt,30 Vacancies- Map Production- Engineering- Maps- Geographic Information System- GIS- Quality- Engineering - Other
2309,Office Manager & Personal Assistant,o2proformance,Giza,Full Time,Experienced,4+ Yrs of Exp,Egypt,Office Management- Microsoft Office- Secretary- English- Administration
2310,Technical Office Engineer,Pretty House,Ain Shams,Full Time,Experienced,5-8 Yrs of Exp,Cairo,Engineering- AutoCAD- Microsoft Office- Engineering - Construction/Civil/Architecture- Installation/Maintenance/Repair
2311,Payable Accounting Supervisor,Nile Air,Sheraton,Full Time,Manager,7-10 Yrs of Exp,Cairo,Payable Supervisor- Accountant- Commerce- MS Office- English- SAP- Financial Analysis- Accounts Payable- Accounting- Accounting/Finance
2312,Digital Marketing Manager,Happy life travel and tourism,Giza,Full Time,Manager,2-5 Yrs of Exp,Giza,Google Analytics- Digital Marketing- Social Media- SEO- Online Marketing- SEM- Project Management- Operations/Management
2313,Accountant,Pretty House,10th of Ramadan City,Part Time,Experienced,3-5 Yrs of Exp,Cairo,Financial Analysis- Finance- Financial Management- Accounting/Finance
2314,Customer Service Executive,Aramex International,Dokki,Full Time,Entry Level,0-2 Yrs of Exp,Giza,Customer Service- Customer Support- Customer Care- Logistics- Communication- Supply Chain- English- Customer Service/Support
2315,Data Entry Specialist,Yodawy,Mohandessin,Full Time,Entry Level,1+ Yrs of Exp,Giza,Startup- Data Entry- Data Management- Administration- Retail- Pharmaceutical- Microsoft Office- Online Searching- Typing- English
2316,Researcher - Turkish Speaker,International Committee of Red Cross,Maadi,Full Time,Experienced,4+ Yrs of Exp,Cairo,Market Research- Analysis- Social Media- Writing/Editorial- Analyst/Research- Media/Journalism/Publishing
2317,Call Center Representative,Heroleads,Cairo,Full Time,Experienced,2-3 Yrs of Exp,Egypt,Customer Service- Customer Care- Call Center- Marketing- Telesales- Customer Support- English- Customer Service/Support
2318,Customer Service Coordinator,Misr Elkheir Foundation,Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Egypt,Customer Service- Customer Care- Customer Support- Customer Service/Support
2319,HR Personnel Assistant (Clerk),SE Wiring Systems EGYPT,6th of October,Full Time,Entry Level,1+ Yrs of Exp,Giza,Human Resources (HR)- Computer Skills- Microsoft Office- Microsoft Excel- Microsoft Word- Communication Skills- Personnel- Recruitment
2320,Sales Representative,Cura Pharma Trading,Glim,Full Time,Experienced,2-5 Yrs of Exp,Alexandria,Sales Target- Technical Sales- Food- Customer Service- MS Office- Pharmaceutical- Sales/Retail
2321,Sales Engineer,Trademan For Engineering & Trading Projects,Maadi,Full Time,Experienced,3+ Yrs of Exp,Cairo,Engineering- Marketing- Indoor Sales- Outdoor Sales- Sales Skills- Technical Sales- Sales Target- English- Sales/Retail
2322,General Accountant,Confidential,New Cairo,Full Time,Experienced,4-5 Yrs of Exp,Cairo,Finance- Financial Analysis- Financial Management- English- MS Office- Accounting/Finance
2323,Senior Architect/BIM Coordinator,MAC EGYPT REAL ESTATE CO.,10th of Ramadan City,Full Time,Experienced,8-10 Yrs of Exp,Cairo,Revit- 3dmax- V-ray- Adobe Photoshop- Adobe Illustrator- Adobe Indesign- Adobe Flash- Adobe Dreamweaver- Architecture- Engineering
2324,Senior Property Consultant,Infinity Business Solutions,New Cairo,Full Time,Experienced,2-5 Yrs of Exp,Cairo,Sales Skills- Real Estate- Sales Target- Brokerage- Communication Skills- Negotiation- Primary- Resale- Sales/Retail
2325,Creative Content Creator,Digitology,Mohandessin,Full Time,Experienced,2-3 Yrs of Exp,Giza,Editing- Content Writing- Content Creator- E-marketing- Market Research- Copywriter- Online Marketing- Digital Media- English
2326,Accounts Receivable Accountant,Egypro FME,Maadi,Full Time,Experienced,2+ Yrs of Exp,Cairo,Finance- Financial Analysis- Commerce- ERP- Accounts Receivable- Financial Reports- Unpaid Invoices- VAT- Cash- Payment Plans
2327,Oracle Financial & Procurement Consultant,Ghassan Ahmed Alsulaiman for Electronic Services,Maadi,Full Time,Experienced,2+ Yrs of Exp,Cairo,Computer Science- Finance- Procurement- Oracle Financial- Accounting- OTBI- O2C- Oracle Cloud Financials
2328,Financial Analyst,Confidential,Sheikh Zayed,Full Time,Experienced,3-5 Yrs of Exp,Giza,Financial Analysis- Finance- Accounting- Commerce- Financial Modeling- English- Accounting/Finance
2329,QC Engineer,Pharous LLC,Alexandria,Full Time,Experienced,2-4 Yrs of Exp,Egypt,QA- Information Technology (IT)- Computer Science- Quality Control- QC- Quality Assurance- Testing- Java- Web Applications
2330,Site Manager - Mechanical,Inter-Tech,6th of October,Full Time,Experienced,5-8 Yrs of Exp,Giza,Maintenance- Safety- Installation- Material- Metallurgical- Installation/Maintenance/Repair
2331,Senior Graphic Designer,UPTURN,New Cairo,Full Time,Experienced,3-5 Yrs of Exp,Cairo,Adobe Photoshop- Marketing- Real Estate- Graphic Design- Creative/Design/Art
2332,Administrative Officer,Ataa charity association,Damanhour,Full Time,Experienced,2+ Yrs of Exp,Beheira,Microsoft Office- Office Management- Communication- Typing- Receptionist- Administration
2333,Senior Payables & Receivables Accountant,Confidential,New Cairo,Full Time,Experienced,7-8 Yrs of Exp,Cairo,Finance- Accounting- Financial Analysis- English- Communication Skills- AP- AR- Accounts Receivable- MS Office
2334,Senior Node.js Developer,EasyKash,Giza,Full Time,Experienced,3+ Yrs of Exp,Egypt,Express- Nodejs- Docker- Mean Stack- Ionic 2+- Angular 2+- Typescript- Information Technology (IT)- Computer Science- Google Cloud
2335,Cashier,Al-Ahly Computer Equipment,Nasr City,Full Time,Entry Level,0-2 Yrs of Exp,Cairo,Finance- Treasury- Compact System- MS Office- Computer Skills- Microsoft Office- Accounting/Finance
2336,Software Engineer (Full-Stack- VUEJS- LAMP- GIT-...,Triptab,Haram,Full Time,Experienced,3+ Yrs of Exp,Giza,PHP- JS- Laravel- Software Development- vuejs- javaScript- MySQL- HTML5- CSS3- APIs- Front-End- MVC- Git- Computer Science
2337,Sales Representative,Ecabiotec Egypt,Nasr City,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,Sales Skills- Customer Service- MS Office- Communication- Sales Target- Business- Negotiation Skills- English- Selling
2338,Medical Call Center Approval Pharmacist,Confidential,New Cairo,Full Time,Shift Based,2-4 Yrs of Exp,Cairo,5 Vacancies- Males Only- Call Center- Customer Service- Customer Care- Customer Support- Pharmacy- Medical Centers- Hospitals
