id,Title,Company,Location,Type,Level,YearsExp,Country,Skills
3215,Product Owner,Confidential,Nasr City,Full Time,Experienced,4-6 Yrs of Exp,Cairo,Product Owner- Software Engineering- Software Development- Information Technology (IT)- Agile- Computer Science- Business
3216,Senior Sales Specialist,JIT International Logistics,Sheraton,Full Time,Experienced,2-6 Yrs of Exp,Cairo,Sales Skills- Freight- Selling- Sales Target- Business Development- Logistics/Supply Chain- Sales/Retail
3217,Beauty Advisor - Gulf Area,Confidential,Victoria,Part Time,Freelance / Project,0-1 Yrs of Exp,Alexandria,0-1 Yrs of Exp- 10 Vacancies- Pharmacy- Science- Beauty- Cosmetics- Gulf Area- R&D/Science- Customer Service/Support
3218,Furniture Manufacturing Specialist,DIVANO,Maadi,Full Time,Manager,5+ Yrs of Exp,Cairo,Applied Arts- Manufacturing- Furniture- AutoCAD- Production- Design- Creative/Design/Art- Manufacturing/Production
3219,IOS Team Lead,Confidential,Nasr City,Full Time,Manager,6-8 Yrs of Exp,Cairo,iOS- Scrum- Computer Science- Information Technology (IT)- Computer Engineering- Code Versioning- ObjC- Swift- IT/Software Development
3220,Senior Compensation & Benefits Specialist,First Group,Mohandessin,Full Time,Experienced,4-5 Yrs of Exp,Giza,Payroll- English- Compensation & Benefits- Human Resources
3221,Activity Teacher,Windrose Academy,Maadi,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,Teaching- Physical Education- English- International School- Sports- Sports and Leisure- Education/Teaching
3222,Sales Executive (Automotive/Lubricants),Solkit Egypt,Mokattam,Full Time,Experienced,3+ Yrs of Exp,Cairo,Indoor Sales- Outdoor Sales- Sales Skills- Lubricants- Car Oils- Automotive- Sales Target- Sales/Retail
3223,Sales Representative - Furniture,DIVANO,Maadi,Full Time,Experienced,2-5 Yrs of Exp,Cairo,Sales Target- Furniture- Sales Skills- Customer Service- Communication Skills- Sales/Retail
3224,Senior Oracle Adf Developer - Cairo,Linux Plus Information Systems,Maadi,Full Time,Experienced,3-5 Yrs of Exp,Cairo,Oracle SOA- Oracle ADF- Information Technology (IT)- Computer Science- Software Development- IT/Software Development
3225,Sales Representative,ACS logistic company,Gomrok,Full Time,Entry Level,0-3 Yrs of Exp,Alexandria,Sales Target- Customer Service- Microsoft Office- Sales Representative- Logistics- Negotiation Skills- Communication Skills
3226,Senior Sales Executive,Future Group,Mohandessin,Full Time,Work From Home,3+ Yrs of Exp,Giza,Sales Skills- Sales Target- Customer Service- Customer Care- Customer Support- English- Business Development- Sales/Retail
